# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,0.000000E+0,0.000000E+0,6.910759E-6,-3.286719E-13,-6.929658E-6,1.922185E+0,1.151793E-4,-5.477866E-12,-4.341057E+2
5.000000E-2,0.000000E+0,0.000000E+0,9.059005E-4,-4.398108E-13,-9.059346E-4,2.121456E+0,1.509834E-2,-7.330179E-12,3.337079E+0
1.000000E-1,0.000000E+0,0.000000E+0,1.806730E-3,-3.287673E-13,-1.806741E-3,2.253457E+0,3.011217E-2,-5.479455E-12,3.330264E+0
1.500000E-1,0.000000E+0,0.000000E+0,2.696727E-3,-4.620313E-13,-2.696694E-3,2.323914E+0,4.494546E-2,-7.700522E-12,3.370796E+0
2.000000E-1,0.000000E+0,0.000000E+0,3.565994E-3,-3.880978E-13,-3.565959E-3,2.401187E+0,5.943324E-2,-6.468296E-12,3.451184E+0
2.500000E-1,0.000000E+0,0.000000E+0,4.426613E-3,-3.733873E-13,-4.426619E-3,2.472695E+0,7.377688E-2,-6.223122E-12,3.485864E+0
3.000000E-1,0.000000E+0,0.000000E+0,5.269127E-3,-3.725171E-13,-5.269195E-3,2.543565E+0,8.781878E-2,-6.208619E-12,3.560772E+0
3.500000E-1,0.000000E+0,0.000000E+0,6.089461E-3,-3.671527E-13,-6.089603E-3,2.614376E+0,1.014910E-1,-6.119212E-12,3.657049E+0
4.000000E-1,0.000000E+0,0.000000E+0,6.892667E-3,-4.533410E-13,-6.892731E-3,2.693165E+0,1.148778E-1,-7.555683E-12,3.735031E+0
4.500000E-1,0.000000E+0,0.000000E+0,7.674476E-3,-4.616141E-13,-7.674522E-3,2.764334E+0,1.279079E-1,-7.693569E-12,3.837254E+0
5.000000E-1,0.000000E+0,0.000000E+0,8.428131E-3,-3.894329E-13,-8.428241E-3,2.834437E+0,1.404689E-1,-6.490549E-12,3.980598E+0
5.500000E-1,0.000000E+0,0.000000E+0,9.164254E-3,-3.576756E-13,-9.164375E-3,2.905247E+0,1.527376E-1,-5.961259E-12,4.075406E+0
6.000000E-1,0.000000E+0,0.000000E+0,9.874878E-3,-4.175544E-13,-9.874946E-3,2.985043E+0,1.645813E-1,-6.959240E-12,4.221640E+0
6.500000E-1,0.000000E+0,0.000000E+0,1.055540E-2,-4.258871E-13,-1.055572E-2,3.136668E+0,1.759233E-1,-7.098118E-12,4.408392E+0
7.000000E-1,0.000000E+0,0.000000E+0,1.122330E-2,-3.407598E-13,-1.122361E-2,3.209266E+0,1.870551E-1,-5.679329E-12,4.491654E+0
7.500000E-1,0.000000E+0,0.000000E+0,1.186800E-2,-4.017949E-13,-1.186835E-2,3.282184E+0,1.978000E-1,-6.696582E-12,4.653356E+0
8.000000E-1,0.000000E+0,0.000000E+0,1.248938E-2,-3.848672E-13,-1.248968E-2,3.359946E+0,2.081563E-1,-6.414453E-12,4.827976E+0
8.500000E-1,0.000000E+0,0.000000E+0,1.309235E-2,-3.647804E-13,-1.309268E-2,3.440153E+0,2.182059E-1,-6.079674E-12,4.975350E+0
9.000000E-1,0.000000E+0,0.000000E+0,1.367869E-2,-4.157901E-13,-1.367908E-2,3.511250E+0,2.279782E-1,-6.929835E-12,5.116459E+0
9.500000E-1,0.000000E+0,0.000000E+0,1.424162E-2,-4.368186E-13,-1.424204E-2,3.581055E+0,2.373604E-1,-7.280310E-12,5.329264E+0
1.000000E+0,0.000000E+0,0.000000E+0,1.478959E-2,-4.028082E-13,-1.479006E-2,3.681610E+0,2.464932E-1,-6.713470E-12,5.474755E+0
1.050000E+0,0.000000E+0,0.000000E+0,1.532080E-2,-3.957391E-13,-1.532124E-2,3.752778E+0,2.553467E-1,-6.595651E-12,5.647498E+0
1.100000E+0,0.000000E+0,0.000000E+0,1.583051E-2,-3.926754E-13,-1.583095E-2,3.823289E+0,2.638418E-1,-6.544590E-12,5.885774E+0
1.150000E+0,0.000000E+0,0.000000E+0,1.632608E-2,-4.334331E-13,-1.632655E-2,3.894734E+0,2.721014E-1,-7.223885E-12,6.053547E+0
1.200000E+0,0.000000E+0,0.000000E+0,1.680182E-2,-4.290939E-13,-1.680234E-2,3.972555E+0,2.800304E-1,-7.151564E-12,6.305965E+0
