# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,-3.000000E+0,0.000000E+0,1.855111E-6,-5.330563E-13,-1.855742E-6,2.424198E+0,3.091852E-5,-8.884272E-12,-1.617154E+3
5.000000E-2,-3.000000E+0,0.000000E+0,3.485537E-6,-5.303860E-13,-3.487369E-6,2.494724E+0,5.809228E-5,-8.839766E-12,1.840011E+3
1.000000E-1,-3.000000E+0,0.000000E+0,5.421399E-6,-5.616665E-13,-5.421362E-6,2.565805E+0,9.035665E-5,-9.361108E-12,1.549697E+3
1.500000E-1,-3.000000E+0,0.000000E+0,6.515883E-6,-6.039858E-13,-6.515811E-6,2.637579E+0,1.085980E-4,-1.006643E-11,2.741017E+3
2.000000E-1,-3.000000E+0,0.000000E+0,6.918524E-6,-5.741835E-13,-6.918434E-6,2.715802E+0,1.153087E-4,-9.569725E-12,7.450797E+3
2.500000E-1,-3.000000E+0,0.000000E+0,7.134375E-6,-5.762935E-13,-7.134260E-6,2.798970E+0,1.189063E-4,-9.604891E-12,1.389849E+4
3.000000E-1,-3.000000E+0,0.000000E+0,6.946971E-6,-5.774855E-13,-6.946864E-6,2.871641E+0,1.157829E-4,-9.624759E-12,-1.600819E+4
3.500000E-1,-3.000000E+0,0.000000E+0,6.897864E-6,-5.678654E-13,-6.897762E-6,2.943103E+0,1.149644E-4,-9.464423E-12,-6.109133E+4
4.000000E-1,-3.000000E+0,0.000000E+0,6.750525E-6,-5.753398E-13,-6.750425E-6,3.013629E+0,1.125088E-4,-9.588997E-12,-2.036120E+4
4.500000E-1,-3.000000E+0,0.000000E+0,6.568008E-6,-5.773068E-13,-6.567914E-6,3.084372E+0,1.094668E-4,-9.621779E-12,-1.643683E+4
5.000000E-1,-3.000000E+0,0.000000E+0,6.373578E-6,-5.753875E-13,-6.373497E-6,3.154412E+0,1.062263E-4,-9.589792E-12,-1.542972E+4
5.500000E-1,-3.000000E+0,0.000000E+0,6.152039E-6,-5.975485E-13,-6.151970E-6,3.226853E+0,1.025340E-4,-9.959141E-12,-1.354159E+4
6.000000E-1,-3.000000E+0,0.000000E+0,5.954441E-6,-5.554318E-13,-5.954373E-6,3.297673E+0,9.924068E-5,-9.257197E-12,-1.518236E+4
6.500000E-1,-3.000000E+0,0.000000E+0,5.745200E-6,-5.401730E-13,-5.745143E-6,3.368014E+0,9.575333E-5,-9.002884E-12,-1.433753E+4
7.000000E-1,-3.000000E+0,0.000000E+0,5.560189E-6,-5.562901E-13,-5.560132E-6,3.438069E+0,9.266982E-5,-9.271502E-12,-1.621531E+4
7.500000E-1,-3.000000E+0,0.000000E+0,5.402095E-6,-5.931258E-13,-5.402050E-6,3.509729E+0,9.003492E-5,-9.885430E-12,-1.897602E+4
8.000000E-1,-3.000000E+0,0.000000E+0,5.237755E-6,-5.712986E-13,-5.237711E-6,3.581126E+0,8.729591E-5,-9.521643E-12,-1.825476E+4
8.500000E-1,-3.000000E+0,0.000000E+0,5.121913E-6,-5.506396E-13,-5.121874E-6,3.651366E+0,8.536521E-5,-9.177327E-12,-2.589737E+4
9.000000E-1,-3.000000E+0,0.000000E+0,4.957782E-6,-5.791068E-13,-4.957747E-6,3.723622E+0,8.262970E-5,-9.651780E-12,-1.827813E+4
9.500000E-1,-3.000000E+0,0.000000E+0,4.843690E-6,-5.521417E-13,-4.843663E-6,3.793960E+0,8.072817E-5,-9.202361E-12,-2.629467E+4
1.000000E+0,-3.000000E+0,0.000000E+0,4.694482E-6,-5.501151E-13,-4.694458E-6,3.866162E+0,7.824137E-5,-9.168585E-12,-2.010609E+4
1.050000E+0,-3.000000E+0,0.000000E+0,4.501164E-6,-5.673528E-13,-4.501142E-6,3.937852E+0,7.501940E-5,-9.455880E-12,-1.551846E+4
1.100000E+0,-3.000000E+0,0.000000E+0,4.312688E-6,-5.671978E-13,-4.312680E-6,4.011199E+0,7.187813E-5,-9.453297E-12,-1.591715E+4
1.150000E+0,-3.000000E+0,0.000000E+0,4.210256E-6,-5.470395E-13,-4.210254E-6,4.082078E+0,7.017093E-5,-9.117325E-12,-2.928777E+4
1.200000E+0,-3.000000E+0,0.000000E+0,4.111168E-6,-5.659938E-13,-4.111168E-6,4.153754E+0,6.851947E-5,-9.433230E-12,-3.027623E+4
1.250000E+0,-3.000000E+0,0.000000E+0,3.943977E-6,-5.764007E-13,-3.943983E-6,4.223274E+0,6.573296E-5,-9.606679E-12,-1.794354E+4
