# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,-2.000000E+0,0.000000E+0,4.206779E-6,6.420493E-13,-4.209664E-6,1.929612E+0,7.011298E-5,1.070082E-11,-7.131347E+2
5.000000E-2,-2.000000E+0,0.000000E+0,3.446683E-4,1.772046E-13,-3.446903E-4,2.135193E+0,5.744471E-3,2.953410E-12,8.811569E+0
1.000000E-1,-2.000000E+0,0.000000E+0,6.664961E-4,-3.321528E-13,-6.665277E-4,2.206807E+0,1.110827E-2,-5.535881E-12,9.321756E+0
1.500000E-1,-2.000000E+0,0.000000E+0,9.649244E-4,-4.256844E-13,-9.649567E-4,2.277192E+0,1.608207E-2,-7.094741E-12,1.005266E+1
2.000000E-1,-2.000000E+0,0.000000E+0,1.217208E-3,-4.710674E-13,-1.217233E-3,2.433257E+0,2.028680E-2,-7.851124E-12,1.189139E+1
2.500000E-1,-2.000000E+0,0.000000E+0,1.454015E-3,-4.798651E-13,-1.454034E-3,2.503361E+0,2.423358E-2,-7.997751E-12,1.266855E+1
3.000000E-1,-2.000000E+0,0.000000E+0,1.663426E-3,-4.979253E-13,-1.663401E-3,2.574964E+0,2.772377E-2,-8.298754E-12,1.432587E+1
3.500000E-1,-2.000000E+0,0.000000E+0,1.841882E-3,-5.434871E-13,-1.841848E-3,2.645263E+0,3.069804E-2,-9.058118E-12,1.681084E+1
4.000000E-1,-2.000000E+0,0.000000E+0,1.978991E-3,-5.035877E-13,-1.978875E-3,2.742513E+0,3.298318E-2,-8.393129E-12,2.188046E+1
4.500000E-1,-2.000000E+0,0.000000E+0,2.102814E-3,-5.214930E-13,-2.102766E-3,2.812614E+0,3.504689E-2,-8.691549E-12,2.422821E+1
5.000000E-1,-2.000000E+0,0.000000E+0,2.198690E-3,-5.282521E-13,-2.198738E-3,2.883319E+0,3.664483E-2,-8.804202E-12,3.129029E+1
5.500000E-1,-2.000000E+0,0.000000E+0,2.274889E-3,-5.304098E-13,-2.274887E-3,2.955124E+0,3.791481E-2,-8.840163E-12,3.937074E+1
6.000000E-1,-2.000000E+0,0.000000E+0,2.325815E-3,-5.117536E-13,-2.325828E-3,3.032724E+0,3.876358E-2,-8.529226E-12,5.890887E+1
6.500000E-1,-2.000000E+0,0.000000E+0,2.368663E-3,-5.308986E-13,-2.368661E-3,3.104249E+0,3.947772E-2,-8.848309E-12,7.001408E+1
7.000000E-1,-2.000000E+0,0.000000E+0,2.398241E-3,-5.407810E-13,-2.398198E-3,3.173858E+0,3.997068E-2,-9.013017E-12,1.014296E+2
7.500000E-1,-2.000000E+0,0.000000E+0,2.419014E-3,-5.251407E-13,-2.418987E-3,3.245167E+0,4.031690E-2,-8.752346E-12,1.444156E+2
8.000000E-1,-2.000000E+0,0.000000E+0,2.429150E-3,-4.922867E-13,-2.429125E-3,3.316005E+0,4.048584E-2,-8.204779E-12,2.959665E+2
8.500000E-1,-2.000000E+0,0.000000E+0,2.426804E-3,-4.851580E-13,-2.426815E-3,3.394183E+0,4.044674E-2,-8.085966E-12,-1.278772E+3
9.000000E-1,-2.000000E+0,0.000000E+0,2.427970E-3,-5.381465E-13,-2.427897E-3,3.465790E+0,4.046617E-2,-8.969109E-12,2.573378E+3
9.500000E-1,-2.000000E+0,0.000000E+0,2.422885E-3,-5.586505E-13,-2.422788E-3,3.536140E+0,4.038141E-2,-9.310842E-12,-5.899140E+2
1.000000E+0,-2.000000E+0,0.000000E+0,2.415516E-3,-5.054116E-13,-2.415448E-3,3.609697E+0,4.025861E-2,-8.423527E-12,-4.071574E+2
1.050000E+0,-2.000000E+0,0.000000E+0,2.406580E-3,-4.719257E-13,-2.406480E-3,3.680281E+0,4.010967E-2,-7.865429E-12,-3.357192E+2
1.100000E+0,-2.000000E+0,0.000000E+0,2.395296E-3,-5.135060E-13,-2.395215E-3,3.753857E+0,3.992160E-2,-8.558433E-12,-2.658545E+2
1.150000E+0,-2.000000E+0,0.000000E+0,2.383951E-3,-5.329728E-13,-2.383920E-3,3.824174E+0,3.973251E-2,-8.882880E-12,-2.644304E+2
1.200000E+0,-2.000000E+0,0.000000E+0,2.374388E-3,-5.201578E-13,-2.374335E-3,3.897981E+0,3.957313E-2,-8.669297E-12,-3.137073E+2
1.250000E+0,-2.000000E+0,0.000000E+0,2.361091E-3,-5.057693E-13,-2.361036E-3,3.969188E+0,3.935152E-2,-8.429488E-12,-2.256234E+2
1.300000E+0,-2.000000E+0,0.000000E+0,2.351160E-3,-5.085349E-13,-2.351059E-3,4.040968E+0,3.918600E-2,-8.475582E-12,-3.020725E+2
1.350000E+0,-2.000000E+0,0.000000E+0,2.340319E-3,-5.129576E-13,-2.340208E-3,4.111818E+0,3.900532E-2,-8.549293E-12,-2.767316E+2
1.400000E+0,-2.000000E+0,0.000000E+0,2.329340E-3,-5.022168E-13,-2.329193E-3,4.184090E+0,3.882233E-2,-8.370280E-12,-2.732457E+2
1.450000E+0,-2.000000E+0,0.000000E+0,2.317241E-3,-4.976631E-13,-2.317120E-3,4.254123E+0,3.862069E-2,-8.294384E-12,-2.479630E+2
1.500000E+0,-2.000000E+0,0.000000E+0,2.305505E-3,-5.013228E-13,-2.305405E-3,4.325872E+0,3.842509E-2,-8.355380E-12,-2.556224E+2
1.550000E+0,-2.000000E+0,0.000000E+0,2.294209E-3,-5.203366E-13,-2.294097E-3,4.396617E+0,3.823681E-2,-8.672277E-12,-2.655695E+2
1.600000E+0,-2.000000E+0,0.000000E+0,2.284569E-3,-5.149603E-13,-2.284493E-3,4.468514E+0,3.807614E-2,-8.582672E-12,-3.111919E+2
1.650000E+0,-2.000000E+0,0.000000E+0,2.276027E-3,-4.920959E-13,-2.275951E-3,4.538279E+0,3.793379E-2,-8.201599E-12,-3.512308E+2
1.700000E+0,-2.000000E+0,0.000000E+0,2.265176E-3,-4.868030E-13,-2.265085E-3,4.609205E+0,3.775293E-2,-8.113384E-12,-2.764585E+2
1.750000E+0,-2.000000E+0,0.000000E+0,2.252965E-3,-4.927516E-13,-2.252845E-3,4.680741E+0,3.754942E-2,-8.212527E-12,-2.456888E+2
1.800000E+0,-2.000000E+0,0.000000E+0,2.242068E-3,-5.212307E-13,-2.241960E-3,4.752529E+0,3.736780E-2,-8.687178E-12,-2.753067E+2
1.850000E+0,-2.000000E+0,0.000000E+0,2.229528E-3,-5.346775E-13,-2.229428E-3,4.825092E+0,3.715880E-2,-8.911292E-12,-2.392384E+2
1.900000E+0,-2.000000E+0,0.000000E+0,2.218369E-3,-5.064964E-13,-2.218196E-3,4.895833E+0,3.697282E-2,-8.441607E-12,-2.688387E+2
1.950000E+0,-2.000000E+0,0.000000E+0,2.207477E-3,-5.154133E-13,-2.207292E-3,4.970225E+0,3.679129E-2,-8.590221E-12,-2.754302E+2
2.000000E+0,-2.000000E+0,0.000000E+0,2.195096E-3,-5.163908E-13,-2.194903E-3,5.042061E+0,3.658493E-2,-8.606513E-12,-2.423022E+2
2.050000E+0,-2.000000E+0,0.000000E+0,2.187226E-3,-4.788756E-13,-2.187117E-3,5.114429E+0,3.645376E-2,-7.981260E-12,-3.811876E+2
2.100000E+0,-2.000000E+0,0.000000E+0,2.175965E-3,-4.982472E-13,-2.175824E-3,5.185930E+0,3.626609E-2,-8.304119E-12,-2.664206E+2
2.150000E+0,-2.000000E+0,0.000000E+0,2.165507E-3,-5.378127E-13,-2.165359E-3,5.257957E+0,3.609178E-2,-8.963546E-12,-2.868539E+2
2.200000E+0,-2.000000E+0,0.000000E+0,2.155259E-3,-5.161762E-13,-2.155158E-3,5.329473E+0,3.592098E-2,-8.602937E-12,-2.927256E+2
2.250000E+0,-2.000000E+0,0.000000E+0,2.147622E-3,-4.732371E-13,-2.147553E-3,5.399872E+0,3.579370E-2,-7.887284E-12,-3.928563E+2
2.300000E+0,-2.000000E+0,0.000000E+0,2.139719E-3,-4.825711E-13,-2.139670E-3,5.471163E+0,3.566198E-2,-8.042852E-12,-3.795705E+2
2.350000E+0,-2.000000E+0,0.000000E+0,2.132028E-3,-5.057335E-13,-2.131950E-3,5.543832E+0,3.553381E-2,-8.428891E-12,-3.901087E+2
2.400000E+0,-2.000000E+0,0.000000E+0,2.122365E-3,-5.452990E-13,-2.122291E-3,5.614060E+0,3.537275E-2,-9.088317E-12,-3.104571E+2
2.450000E+0,-2.000000E+0,0.000000E+0,2.113948E-3,-5.441904E-13,-2.113895E-3,5.687965E+0,3.523246E-2,-9.069840E-12,-3.564091E+2
2.500000E+0,-2.000000E+0,0.000000E+0,2.106073E-3,-5.092859E-13,-2.105996E-3,5.757183E+0,3.510121E-2,-8.488099E-12,-3.809509E+2
2.550000E+0,-2.000000E+0,0.000000E+0,2.098536E-3,-4.811048E-13,-2.098441E-3,5.832033E+0,3.497561E-2,-8.018414E-12,-3.980630E+2
2.600000E+0,-2.000000E+0,0.000000E+0,2.086617E-3,-5.002499E-13,-2.086549E-3,5.902393E+0,3.477695E-2,-8.337498E-12,-2.516877E+2
2.650000E+0,-2.000000E+0,0.000000E+0,2.079485E-3,-5.109430E-13,-2.079456E-3,5.973296E+0,3.465808E-2,-8.515716E-12,-4.206216E+2
2.700000E+0,-2.000000E+0,0.000000E+0,2.070524E-3,-5.135060E-13,-2.070478E-3,6.043095E+0,3.450873E-2,-8.558433E-12,-3.347858E+2
2.750000E+0,-2.000000E+0,0.000000E+0,2.063328E-3,-5.203724E-13,-2.063287E-3,6.116786E+0,3.438880E-2,-8.672873E-12,-4.169197E+2
2.800000E+0,-2.000000E+0,0.000000E+0,2.053533E-3,-5.093455E-13,-2.053473E-3,6.187224E+0,3.422554E-2,-8.489092E-12,-3.062656E+2
2.850000E+0,-2.000000E+0,0.000000E+0,2.046424E-3,-4.946589E-13,-2.046363E-3,6.257336E+0,3.410707E-2,-8.244316E-12,-4.220407E+2
2.900000E+0,-2.000000E+0,0.000000E+0,2.039410E-3,-4.816890E-13,-2.039350E-3,6.328726E+0,3.399017E-2,-8.028149E-12,-4.277004E+2
2.950000E+0,-2.000000E+0,0.000000E+0,2.032459E-3,-5.203366E-13,-2.032415E-3,6.399374E+0,3.387431E-2,-8.672277E-12,-4.315827E+2
3.000000E+0,-2.000000E+0,0.000000E+0,2.024442E-3,-4.925489E-13,-2.024374E-3,6.470537E+0,3.374070E-2,-8.209149E-12,-3.742130E+2
3.050000E+0,-2.000000E+0,0.000000E+0,2.018484E-3,-4.987717E-13,-2.018414E-3,6.541156E+0,3.364140E-2,-8.312861E-12,-5.035132E+2
3.100000E+0,-2.000000E+0,0.000000E+0,2.012596E-3,-4.444361E-13,-2.012591E-3,6.613668E+0,3.354327E-2,-7.407268E-12,-5.095263E+2
3.150000E+0,-2.000000E+0,0.000000E+0,2.006104E-3,-4.487753E-13,-2.006068E-3,6.685708E+0,3.343507E-2,-7.479588E-12,-4.621060E+2
3.200000E+0,-2.000000E+0,0.000000E+0,1.998827E-3,-4.862070E-13,-1.998769E-3,6.759106E+0,3.331379E-2,-8.103450E-12,-4.122773E+2
3.250000E+0,-2.000000E+0,0.000000E+0,1.990579E-3,-5.466580E-13,-1.990572E-3,6.831297E+0,3.317632E-2,-9.110967E-12,-3.637234E+2
3.300000E+0,-2.000000E+0,0.000000E+0,1.984384E-3,-4.794359E-13,-1.984390E-3,-5.309386E+1,3.307307E-2,-7.990599E-12,-4.842310E+2
3.350000E+0,-2.000000E+0,0.000000E+0,1.976466E-3,-4.655481E-13,-1.976480E-3,-5.302080E+1,3.294110E-2,-7.759134E-12,-3.788897E+2
3.400000E+0,-2.000000E+0,0.000000E+0,1.969501E-3,-5.299807E-13,-1.969427E-3,-5.294995E+1,3.282501E-2,-8.833011E-12,-4.307027E+2
3.450000E+0,-2.000000E+0,0.000000E+0,1.961776E-3,-4.948616E-13,-1.961750E-3,-5.287842E+1,3.269627E-2,-8.247693E-12,-3.883685E+2
3.500000E+0,-2.000000E+0,0.000000E+0,1.954071E-3,-4.418015E-13,-1.954023E-3,-5.280552E+1,3.256786E-2,-7.363359E-12,-3.893778E+2
3.550000E+0,-2.000000E+0,0.000000E+0,1.947404E-3,-5.394578E-13,-1.947310E-3,-5.273413E+1,3.245674E-2,-8.990963E-12,-4.499547E+2
3.600000E+0,-2.000000E+0,0.000000E+0,1.939951E-3,-5.827785E-13,-1.939940E-3,-5.266111E+1,3.233252E-2,-9.712974E-12,-4.025211E+2
