# of variables,1,Sweep points,201,Parametric points,1,,,,
Vd,Vg,Vs,Id,Ig,Is,time_s,Id_dens,Ig_dens,R_on
0.000000E+0,1.000000E+0,0.000000E+0,6.749162E-6,1.335144E-12,-7.872456E-6,1.965456E+0,1.124860E-4,2.225240E-11,-4.444996E+2
5.000000E-2,1.000000E+0,0.000000E+0,1.073217E-3,7.143497E-13,-1.073328E-3,2.217176E+0,1.788696E-2,1.190583E-11,2.813023E+0
1.000000E-1,1.000000E+0,0.000000E+0,2.141203E-3,-9.514094E-14,-2.141313E-3,2.287682E+0,3.568671E-2,-1.585682E-12,2.809028E+0
1.500000E-1,1.000000E+0,0.000000E+0,3.209398E-3,-1.770139E-13,-3.209462E-3,2.359164E+0,5.348996E-2,-2.950231E-12,2.808476E+0
2.000000E-1,1.000000E+0,0.000000E+0,4.263799E-3,-2.192497E-13,-4.263834E-3,2.454773E+0,7.106332E-2,-3.654162E-12,2.845216E+0
2.500000E-1,1.000000E+0,0.000000E+0,5.322076E-3,-2.493620E-13,-5.322190E-3,2.524213E+0,8.870127E-2,-4.156033E-12,2.834797E+0
3.000000E-1,1.000000E+0,0.000000E+0,6.369710E-3,-2.892971E-13,-6.369885E-3,2.595557E+0,1.061618E-1,-4.821618E-12,2.863595E+0
3.500000E-1,1.000000E+0,0.000000E+0,7.406257E-3,-3.189206E-13,-7.406429E-3,2.665370E+0,1.234376E-1,-5.315344E-12,2.894224E+0
4.000000E-1,1.000000E+0,0.000000E+0,8.437311E-3,-3.119588E-13,-8.437490E-3,2.744872E+0,1.406219E-1,-5.199313E-12,2.909643E+0
4.500000E-1,1.000000E+0,0.000000E+0,9.458016E-3,-3.127456E-13,-9.458235E-3,2.824941E+0,1.576336E-1,-5.212426E-12,2.939147E+0
5.000000E-1,1.000000E+0,0.000000E+0,1.046628E-2,-3.215551E-13,-1.046678E-2,2.956623E+0,1.744380E-1,-5.359252E-12,2.975417E+0
5.500000E-1,1.000000E+0,0.000000E+0,1.146199E-2,-3.213644E-13,-1.146251E-2,3.027200E+0,1.910331E-1,-5.356073E-12,3.012932E+0
6.000000E-1,1.000000E+0,0.000000E+0,1.244427E-2,-3.096461E-13,-1.244487E-2,3.104124E+0,2.074045E-1,-5.160769E-12,3.054105E+0
6.500000E-1,1.000000E+0,0.000000E+0,1.339940E-2,-3.396034E-13,-1.340001E-2,3.176647E+0,2.233233E-1,-5.660057E-12,3.140937E+0
7.000000E-1,1.000000E+0,0.000000E+0,1.434653E-2,-3.499985E-13,-1.434711E-2,3.247270E+0,2.391088E-1,-5.833308E-12,3.167467E+0
7.500000E-1,1.000000E+0,0.000000E+0,1.527411E-2,-3.116608E-13,-1.527469E-2,3.316711E+0,2.545685E-1,-5.194346E-12,3.234224E+0
8.000000E-1,1.000000E+0,0.000000E+0,1.618266E-2,-3.101826E-13,-1.618340E-2,3.445135E+0,2.697110E-1,-5.169710E-12,3.301952E+0
8.500000E-1,1.000000E+0,0.000000E+0,1.707562E-2,-3.438950E-13,-1.707630E-2,3.516271E+0,2.845937E-1,-5.731583E-12,3.359608E+0
